feature,importance
load_lag_1,0.7303163
load_lag_2,0.18341309
load_roll_mean_4,0.07549293
hour_sin,0.003565427
hour,0.0020469043
load_lag_4,0.0011194233
is_weekend,0.0009264706
load_roll_std_4,0.000865125
hour_cos,0.0005122092
day_of_week,0.0003794741
Solar_MW,0.00032584264
load_lag_672,0.00020347312
month,0.000120272234
dow_sin,0.00011245976
load_roll_mean_96,0.00011178712
load_lag_96,0.000106832704
day_of_year,0.00010433474
dow_cos,6.811093e-05
load_roll_std_96,5.8542948e-05
Hydro_water_reservoir_MW,4.2944663e-05
Wind_offshore_MW,4.0290754e-05
Wind_onshore_MW,3.4563804e-05
Hydro_Run_of_River_MW,3.327489e-05
